index,Fuel Type Code,Station Name,City,State,ZIP,Status Code,Groups With Access Code,Latitude,Longitude,ID,Updated At,Country,Groups With Access Code (French),Access Code,TOTAL_POP_ev,County_ev,ST_ev,STATE_ev,STCNTY_ev,COUNTY_ev,FIPS_ev,SVI_ev,Area_km2_ev,PopDens_ev,PD_log_ev,geometry,index_tracts,TOTAL_POP_tracts,County_tracts,ST_tracts,STATE_tracts,STCNTY_tracts,COUNTY_tracts,FIPS_tracts,SVI_tracts,Area_km2_tracts,PopDens_tracts,PD_log_tracts
332,ELEC,City of Raleigh - Municipal Building,Raleigh,NC,27601,E,Public,35.778416,-78.64347,39016,2019-11-08 19:38:10 UTC,US,Public,public,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406,POINT (713000.1651086966 3961933.777800918),88,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406
333,ELEC,City of Raleigh - Downtown,Raleigh,NC,27601,E,Public,35.77435,-78.642287,39017,2019-11-08 19:38:10 UTC,US,Public,public,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406,POINT (713117.9704010197 3961485.267754865),88,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406
625,ELEC,Green Square Public Parking Garage - Level B1,Raleigh,NC,27603,E,Public,35.78136,-78.6412,40070,2019-10-04 14:44:17 UTC,US,Public,public,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406,POINT (713197.5149654148 3962265.326573312),88,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406
626,ELEC,Green Square Public Parking Garage - Level P1,Raleigh,NC,27603,E,Private,35.78136,-78.6412,40072,2019-05-14 21:16:45 UTC,US,Privé,private,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406,POINT (713197.5149654148 3962265.326573312),88,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406
682,ELEC,City of Raleigh - City Center Deck,Raleigh,NC,27601,E,Public,35.774619,-78.63770500000001,40744,2019-11-08 19:38:10 UTC,US,Public,public,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406,POINT (713531.5008229958 3961525.091328108),88,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406
685,ELEC,City of Raleigh - Wilmington Station Deck,Raleigh,NC,27601,E,Public,35.77937,-78.638203,40751,2019-11-08 19:38:10 UTC,US,Public,public,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406,POINT (713473.7682653572 3962051.084217069),88,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406
888,ELEC,City Municipal Deck,Raleigh,NC,27601,E,Public,35.779082,-78.641779,42396,2019-11-08 19:38:10 UTC,US,Public,public,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406,POINT (713151.2583992133 3962011.343591712),88,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406
889,ELEC,City of Raleigh,Raleigh,NC,27601,E,Public,35.777283000000004,-78.63928100000001,42397,2019-11-08 19:38:10 UTC,US,Public,public,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406,POINT (713381.8949694273 3961817.201790133),88,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406
10032,ELEC,STATE PARKING,Raleigh,NC,27603,E,Public,35.7815102,-78.6411604,82284,2019-11-14 10:14:28 UTC,US,Public,public,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406,POINT (713200.6934717181 3962282.076064722),88,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406
10033,ELEC,STATE PARKING,Raleigh,NC,27601,E,Public,35.7825234,-78.64101059999999,82285,2019-11-14 10:14:28 UTC,US,Public,public,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406,POINT (713211.5278703209 3962394.807214702),88,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.1451921847619997,1315.9660099699647,7.182326283261406
